Graph(num_nodes=20, num_edges=292,
      ndata_schemes={'_ID': Scheme(shape=(), dtype=torch.int64)}
      edata_schemes={'_ID': Scheme(shape=(), dtype=torch.int64)})
cuda:1
Namespace(alpha=0.999, aug='1st', batch_size=32, beta1=0.9, beta2=0.999, clip_norm=1.0, cv=False, cvrun=-1, dataset='dgl', degree_embedding_size=16, epochs=100, exp='Pretrain', finetune=False, fold_idx=0, freq_embedding_size=16, gpu=0, hidden_size=64, learning_rate=0.005, load_path=None, lr_decay_epochs=[120, 160, 200], lr_decay_rate=0.0, max_degree=512, max_edge_freq=16, max_node_freq=16, moco=True, model='gin', model_folder='saved/Pretrain_moco_True_dgl_gin_layer_5_lr_0.005_decay_1e-05_bsz_32_hid_64_samples_2000_nce_t_0.07_nce_k_16384_rw_hops_256_restart_prob_0.8_aug_1st_ft_False_deg_16_pos_32_momentum_0.999', model_name='Pretrain_moco_True_dgl_gin_layer_5_lr_0.005_decay_1e-05_bsz_32_hid_64_samples_2000_nce_t_0.07_nce_k_16384_rw_hops_256_restart_prob_0.8_aug_1st_ft_False_deg_16_pos_32_momentum_0.999', model_path='saved', momentum=0.9, nce_k=16384, nce_t=0.07, norm=True, num_copies=12, num_layer=5, num_samples=2000, num_workers=24, optimizer='adam', positional_embedding_size=32, print_freq=10, readout='avg', restart_prob=0.8, resume='', rw_hops=256, save_freq=1, seed=0, set2set_iter=6, set2set_lstm_layer=3, subgraph_size=128, tb_folder='tensorboard/Pretrain_moco_True_dgl_gin_layer_5_lr_0.005_decay_1e-05_bsz_32_hid_64_samples_2000_nce_t_0.07_nce_k_16384_rw_hops_256_restart_prob_0.8_aug_1st_ft_False_deg_16_pos_32_momentum_0.999', tb_freq=50, tb_path='tensorboard', weight_decay=1e-05)
Pretrain_moco_True_dgl_gin_layer_5_lr_0.005_decay_1e-05_bsz_32_hid_64_samples_2000_nce_t_0.07_nce_k_16384_rw_hops_256_restart_prob_0.8_aug_1st_ft_False_deg_16_pos_32_momentum_0.999
Use GPU: 0 for training
setting random seeds
before construct dataset 5.254283905029297
load graph done
before construct dataloader 5.254283905029297
before training 5.254283905029297
using queue shape: (16384,64)
==> training...
moco1
moco2
moco3
moco4
Train: [0][1/1500]	BT 20.379 (20.379)	DT 19.080 (19.080)	loss 5.540 (5.540)	prob 5.742 (5.742)	GS 33.891 (33.891)	mem 74.267
Train: [0][660/1500]	BT 0.060 (0.315)	DT 0.003 (0.271)	loss 9.947 (9.888)	prob 0.167 (0.187)	GS 33.922 (31.059)	mem 78.160
Train: [0][670/1500]	BT 0.048 (0.314)	DT 0.000 (0.270)	loss 9.699 (9.894)	prob 0.481 (0.172)	GS 35.734 (31.887)	mem 78.218
Train: [0][680/1500]	BT 0.040 (0.316)	DT 0.001 (0.272)	loss 9.922 (9.897)	prob -0.019 (0.158)	GS 28.047 (32.443)	mem 79.471
Train: [0][690/1500]	BT 0.040 (0.312)	DT 0.001 (0.269)	loss 9.996 (9.898)	prob -0.088 (0.135)	GS 30.828 (32.150)	mem 79.758
Train: [0][700/1500]	BT 0.040 (0.312)	DT 0.001 (0.269)	loss 10.121 (9.902)	prob -0.170 (0.106)	GS 31.203 (32.090)	mem 81.388
Train: [0][710/1500]	BT 0.059 (0.309)	DT 0.000 (0.265)	loss 9.921 (9.958)	prob 0.162 (0.060)	GS 32.688 (33.431)	mem 81.405
Train: [0][720/1500]	BT 0.072 (0.310)	DT 0.005 (0.266)	loss 10.143 (9.981)	prob 0.100 (0.057)	GS 37.422 (32.550)	mem 78.497
Train: [0][730/1500]	BT 0.027 (0.318)	DT 0.000 (0.274)	loss 10.134 (9.962)	prob 0.133 (0.113)	GS 32.953 (32.722)	mem 77.585
Train: [0][740/1500]	BT 0.039 (0.314)	DT 0.001 (0.270)	loss 9.842 (9.958)	prob 0.333 (0.127)	GS 32.078 (32.732)	mem 77.607
Train: [0][750/1500]	BT 0.047 (0.318)	DT 0.013 (0.275)	loss 10.128 (9.963)	prob -0.121 (0.135)	GS 35.078 (32.755)	mem 77.784
Train: [0][760/1500]	BT 0.068 (0.314)	DT 0.004 (0.271)	loss 9.787 (9.954)	prob 0.149 (-0.012)	GS 31.219 (31.916)	mem 77.792
Train: [0][770/1500]	BT 0.065 (0.311)	DT 0.013 (0.268)	loss 10.019 (9.949)	prob 0.004 (0.075)	GS 28.750 (31.910)	mem 77.798
Train: [0][780/1500]	BT 0.047 (0.327)	DT 0.001 (0.283)	loss 10.148 (9.946)	prob 0.206 (0.145)	GS 31.438 (32.691)	mem 77.995
Train: [0][790/1500]	BT 0.038 (0.323)	DT 0.000 (0.280)	loss 9.946 (9.950)	prob 0.433 (0.188)	GS 32.047 (33.172)	mem 78.005
Train: [0][800/1500]	BT 0.038 (0.320)	DT 0.000 (0.276)	loss 10.158 (9.963)	prob -0.102 (0.160)	GS 33.375 (33.022)	mem 78.016
Train: [0][810/1500]	BT 0.037 (0.322)	DT 0.001 (0.279)	loss 10.011 (9.956)	prob 0.195 (0.257)	GS 32.172 (30.977)	mem 78.158
Train: [0][820/1500]	BT 0.040 (0.318)	DT 0.001 (0.275)	loss 10.278 (9.957)	prob -0.150 (0.204)	GS 30.125 (30.955)	mem 78.153
Train: [0][830/1500]	BT 0.024 (0.321)	DT 0.000 (0.278)	loss 10.148 (9.962)	prob -0.125 (0.148)	GS 35.469 (31.392)	mem 77.906
Train: [0][840/1500]	BT 0.027 (0.318)	DT 0.000 (0.275)	loss 10.100 (9.969)	prob 0.048 (0.154)	GS 32.984 (31.412)	mem 77.914
Train: [0][850/1500]	BT 0.037 (0.319)	DT 0.001 (0.276)	loss 9.786 (9.958)	prob 0.478 (0.185)	GS 28.953 (31.820)	mem 77.937
Train: [0][860/1500]	BT 0.027 (0.315)	DT 0.000 (0.273)	loss 10.270 (10.042)	prob 0.148 (0.212)	GS 34.594 (35.602)	mem 77.950
Train: [0][870/1500]	BT 0.038 (0.312)	DT 0.001 (0.270)	loss 10.154 (10.041)	prob 0.231 (0.281)	GS 35.688 (34.228)	mem 77.961
Train: [0][880/1500]	BT 0.037 (0.314)	DT 0.000 (0.271)	loss 9.964 (10.021)	prob 0.315 (0.344)	GS 30.672 (33.603)	mem 78.106
Train: [0][890/1500]	BT 0.039 (0.310)	DT 0.001 (0.268)	loss 9.920 (10.007)	prob 0.149 (0.313)	GS 30.031 (33.395)	mem 78.122
Train: [0][900/1500]	BT 0.035 (0.312)	DT 0.000 (0.270)	loss 10.527 (10.021)	prob -0.582 (0.261)	GS 31.516 (32.900)	mem 77.256
Train: [0][910/1500]	BT 0.032 (0.309)	DT 0.001 (0.267)	loss 10.040 (10.071)	prob -0.149 (-0.165)	GS 36.516 (31.366)	mem 77.268
Train: [0][920/1500]	BT 0.032 (0.306)	DT 0.000 (0.264)	loss 10.390 (10.052)	prob -0.394 (-0.095)	GS 32.172 (31.423)	mem 77.272
Train: [0][930/1500]	BT 0.037 (0.313)	DT 0.001 (0.271)	loss 9.685 (10.036)	prob 0.431 (-0.031)	GS 35.438 (32.305)	mem 77.362
Train: [0][940/1500]	BT 0.038 (0.310)	DT 0.001 (0.268)	loss 10.235 (10.029)	prob 0.205 (0.030)	GS 32.703 (32.279)	mem 77.372
Train: [0][950/1500]	BT 0.031 (0.312)	DT 0.000 (0.270)	loss 9.959 (10.038)	prob -0.081 (0.023)	GS 30.266 (32.031)	mem 77.499
Train: [0][960/1500]	BT 0.031 (0.309)	DT 0.001 (0.267)	loss 9.869 (10.045)	prob 0.183 (-0.169)	GS 32.047 (33.419)	mem 77.504
Train: [0][970/1500]	BT 0.029 (0.312)	DT 0.000 (0.271)	loss 10.151 (10.068)	prob 0.224 (-0.011)	GS 37.062 (33.235)	mem 77.665
Train: [0][980/1500]	BT 0.040 (0.309)	DT 0.001 (0.268)	loss 10.020 (10.066)	prob 0.155 (0.092)	GS 30.047 (33.346)	mem 77.632
Train: [0][990/1500]	BT 0.039 (0.306)	DT 0.001 (0.265)	loss 10.061 (10.080)	prob -0.183 (0.117)	GS 33.266 (33.730)	mem 77.646
Train: [0][1000/1500]	BT 0.032 (0.308)	DT 0.000 (0.267)	loss 9.897 (10.057)	prob 0.657 (0.203)	GS 32.500 (33.678)	mem 77.874
Train: [0][1010/1500]	BT 0.037 (0.306)	DT 0.001 (0.265)	loss 9.685 (10.057)	prob 0.185 (0.241)	GS 32.016 (32.688)	mem 77.886
Train: [0][1020/1500]	BT 0.068 (0.308)	DT 0.004 (0.267)	loss 10.593 (10.104)	prob -0.310 (0.146)	GS 34.594 (31.915)	mem 77.954
Train: [0][1030/1500]	BT 0.034 (0.306)	DT 0.000 (0.265)	loss 10.474 (10.061)	prob -0.154 (0.183)	GS 33.109 (31.859)	mem 77.985
Train: [0][1040/1500]	BT 0.039 (0.304)	DT 0.001 (0.263)	loss 10.236 (10.085)	prob 0.134 (0.207)	GS 32.172 (32.044)	mem 77.997
Train: [0][1050/1500]	BT 0.061 (0.308)	DT 0.006 (0.267)	loss 10.217 (10.097)	prob -0.334 (0.195)	GS 35.656 (32.280)	mem 78.123
Train: [0][1060/1500]	BT 0.033 (0.306)	DT 0.000 (0.265)	loss 10.503 (10.101)	prob -0.209 (0.109)	GS 38.312 (33.670)	mem 78.127
Train: [0][1070/1500]	BT 0.031 (0.312)	DT 0.000 (0.271)	loss 10.061 (10.087)	prob -0.198 (0.039)	GS 35.984 (33.913)	mem 78.351
Train: [0][1080/1500]	BT 0.030 (0.309)	DT 0.000 (0.268)	loss 10.170 (10.108)	prob 0.001 (0.086)	GS 34.406 (33.322)	mem 78.374
Train: [0][1090/1500]	BT 0.028 (0.317)	DT 0.000 (0.276)	loss 10.203 (10.094)	prob 0.135 (0.128)	GS 31.328 (32.715)	mem 77.584
Train: [0][1100/1500]	BT 0.032 (0.315)	DT 0.000 (0.274)	loss 10.249 (10.089)	prob -0.122 (0.120)	GS 32.438 (32.455)	mem 77.591
Train: [0][1110/1500]	BT 0.038 (0.312)	DT 0.001 (0.272)	loss 10.105 (10.082)	prob 0.181 (0.289)	GS 31.750 (33.600)	mem 77.597
Train: [0][1120/1500]	BT 0.042 (0.314)	DT 0.001 (0.273)	loss 9.961 (10.101)	prob 0.370 (0.221)	GS 34.344 (33.043)	mem 77.644
Train: [0][1130/1500]	BT 0.039 (0.311)	DT 0.001 (0.271)	loss 10.551 (10.135)	prob -0.539 (0.219)	GS 32.375 (33.032)	mem 77.656
Train: [0][1140/1500]	BT 0.029 (0.314)	DT 0.000 (0.273)	loss 10.148 (10.131)	prob 0.156 (0.203)	GS 37.062 (32.906)	mem 77.942
Train: [0][1150/1500]	BT 0.024 (0.311)	DT 0.000 (0.271)	loss 10.125 (10.142)	prob 0.315 (0.165)	GS 36.969 (32.824)	mem 77.962
Train: [0][1160/1500]	BT 0.038 (0.311)	DT 0.001 (0.271)	loss 9.785 (10.203)	prob 0.495 (0.046)	GS 28.516 (32.445)	mem 78.078
Train: [0][1170/1500]	BT 0.038 (0.309)	DT 0.001 (0.269)	loss 10.523 (10.201)	prob -0.000 (0.112)	GS 37.625 (32.398)	mem 78.091
Train: [0][1180/1500]	BT 0.050 (0.307)	DT 0.014 (0.266)	loss 10.154 (10.193)	prob 0.067 (0.113)	GS 36.031 (32.576)	mem 78.102
Train: [0][1190/1500]	BT 0.037 (0.308)	DT 0.001 (0.268)	loss 10.244 (10.189)	prob -0.103 (0.141)	GS 33.797 (32.468)	mem 78.243
Train: [0][1200/1500]	BT 0.038 (0.306)	DT 0.001 (0.266)	loss 10.179 (10.187)	prob 0.811 (0.194)	GS 31.781 (32.593)	mem 78.255
Train: [0][1210/1500]	BT 0.038 (0.306)	DT 0.001 (0.266)	loss 10.031 (10.215)	prob 0.618 (0.629)	GS 31.797 (32.987)	mem 78.338
Train: [0][1220/1500]	BT 0.039 (0.304)	DT 0.001 (0.264)	loss 9.903 (10.203)	prob 1.119 (0.627)	GS 34.266 (33.577)	mem 78.360
Train: [0][1230/1500]	BT 0.038 (0.302)	DT 0.001 (0.261)	loss 10.034 (10.224)	prob -0.014 (0.560)	GS 32.938 (33.200)	mem 78.386
Train: [0][1240/1500]	BT 0.064 (0.306)	DT 0.000 (0.265)	loss 10.227 (10.226)	prob 0.037 (0.453)	GS 34.109 (33.163)	mem 78.555
Train: [0][1250/1500]	BT 0.039 (0.304)	DT 0.001 (0.264)	loss 10.245 (10.214)	prob 0.454 (0.409)	GS 31.734 (33.492)	mem 78.601
Train: [0][1260/1500]	BT 0.049 (0.307)	DT 0.001 (0.266)	loss 10.101 (10.196)	prob 0.514 (0.338)	GS 33.453 (32.650)	mem 78.716
Train: [0][1270/1500]	BT 0.039 (0.305)	DT 0.001 (0.264)	loss 10.161 (10.140)	prob 0.233 (0.318)	GS 28.766 (32.587)	mem 78.126
Train: [0][1280/1500]	BT 12.221 (0.320)	DT 12.177 (0.279)	loss 10.618 (10.204)	prob -0.122 (0.277)	GS 36.969 (32.651)	mem 77.596
Train: [0][1290/1500]	BT 0.032 (0.318)	DT 0.000 (0.277)	loss 10.263 (10.223)	prob 0.455 (0.296)	GS 36.344 (32.749)	mem 77.614
Train: [0][1300/1500]	BT 0.038 (0.315)	DT 0.001 (0.275)	loss 10.267 (10.221)	prob -0.107 (0.286)	GS 34.172 (32.800)	mem 77.635
/home/shakir/.venv/lib/python3.8/site-packages/dgl/data/graph_serialize.py:189: DGLWarning: You are loading a graph file saved by old version of dgl.              Please consider saving it again with the current format.
  dgl_warning(
/home/shakir/.venv/lib/python3.8/site-packages/dgl/data/graph_serialize.py:189: DGLWarning: You are loading a graph file saved by old version of dgl.              Please consider saving it again with the current format.
  dgl_warning(
/home/shakir/.venv/lib/python3.8/site-packages/dgl/data/graph_serialize.py:189: DGLWarning: You are loading a graph file saved by old version of dgl.              Please consider saving it again with the current format.
  dgl_warning(
/home/shakir/.venv/lib/python3.8/site-packages/dgl/data/graph_serialize.py:189: DGLWarning: You are loading a graph file saved by old version of dgl.              Please consider saving it again with the current format.
  dgl_warning(
/home/shakir/.venv/lib/python3.8/site-packages/dgl/data/graph_serialize.py:189: DGLWarning: You are loading a graph file saved by old version of dgl.              Please consider saving it again with the current format.
  dgl_warning(
/home/shakir/.venv/lib/python3.8/site-packages/dgl/data/graph_serialize.py:189: DGLWarning: You are loading a graph file saved by old version of dgl.              Please consider saving it again with the current format.
  dgl_warning(
/home/shakir/.venv/lib/python3.8/site-packages/dgl/data/graph_serialize.py:189: DGLWarning: You are loading a graph file saved by old version of dgl.              Please consider saving it again with the current format.
  dgl_warning(
